,Word,Length,Distance
0,AAH,3,5.0
1,AAHED,5,9.529952756274794
2,AAHING,6,11.017916140954615
3,AAHS,4,9.0
4,AAL,3,8.0
5,AALII,5,9.664001201922643
6,AALIIS,6,15.421509343471381
7,AALS,4,15.0
8,AARGH,5,5.5151237878526125
9,AARRGH,6,5.5151237878526125
10,AARRGHH,7,5.5151237878526125
11,AARTI,5,6.85112258592997
12,AARTIS,6,12.608630727478708
13,AAS,3,1.0
14,ABA,3,8.887946894530817
15,ABAC,4,11.423474453047978
16,ABACA,5,13.95900201156514
17,ABACAS,6,14.95900201156514
18,ABACI,5,16.20213535334212
19,ABACK,5,16.199340866590134
20,ABACS,5,13.087475654970621
21,ABACTOR,7,22.830879695212246
22,ABACUS,6,20.092360260325542
23,ABAFT,5,13.091649515612952
24,ABAKA,5,22.887946894530817
25,ABAKAS,6,23.887946894530817
26,ABALONE,7,25.190039637422792
27,ABAMP,5,18.374695313580638
28,ABAMPS,6,26.10960966346196
29,ABAND,5,17.787853768018138
30,ABANDED,7,19.893940185998176
31,ABANDON,7,26.623608163523826
32,ABANDS,6,18.787853768018138
33,ABAS,4,9.887946894530817
34,ABASE,5,11.091649515612952
35,ABASED,6,12.144692724602972
36,ABASER,6,12.091649515612952
37,ABASERS,7,14.038159212480656
38,ABASES,6,12.295352136695087
39,ABASH,5,13.887946894530817
40,ABASHED,7,18.41789965080561
41,ABASHES,7,18.568559062897723
42,ABASIA,6,22.39000098076701
43,ABASIAS,7,23.39000098076701
44,ABASING,7,19.716861480166465
45,ABASK,5,15.887946894530817
46,ABATE,5,14.691747625378845
47,ABATED,6,15.744790834368866
48,ABATER,6,15.691747625378845
49,ABATERS,7,17.63825732224655
50,ABATES,6,15.89545024646098
51,ABATING,7,19.763154069465756
52,ABATIS,6,21.449255766927582
53,ABATOR,6,21.691747625378845
54,ABATORS,7,23.63825732224655
55,ABATTIS,7,21.449255766927582
56,ABATTU,6,14.691747625378845
57,ABATURE,7,18.691747625378845
58,ABAXIAL,7,30.998739213000857
59,ABAXILE,7,24.326696635328915
60,ABAYA,5,18.439679721615125
61,ABAYAS,6,19.439679721615125
62,ABB,3,4.443973447265408
63,ABBA,4,8.887946894530817
64,ABBACY,6,14.501720707004928
65,ABBAS,5,9.887946894530817
66,ABBE,4,7.771975851110694
67,ABBED,5,8.825019060100715
68,ABBES,5,8.975678472192829
69,ABBESS,6,8.975678472192829
70,ABBEY,5,10.771975851110694
